id_empleado,puesto,anos_experiencia,salario_anual_mxn_equiv,genero,nivel_educativo,pais,modalidad_trabajo,tamano_empresa
EMP0001,QA Engineer,1,408000,Masculino,Técnico,Chile,Remoto,Mediana (50-500)
EMP0002,Data Analyst,4,586000,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0003,QA Engineer,3,322700,Masculino,Licenciatura,Argentina,Remoto,Grande (>500)
EMP0004,ML Engineer,4,1858800,Masculino,Licenciatura,España,Híbrido,Startup (<50)
EMP0005,DevOps Engineer,0,247700,Masculino,Licenciatura,Argentina,Presencial,Startup (<50)
EMP0006,Backend Developer,8,1009500,Masculino,Maestría,México,Presencial,Grande (>500)
EMP0007,ML Engineer,17,1462000,Masculino,Licenciatura,México,Presencial,Startup (<50)
EMP0008,QA Engineer,0,900900,Femenino,Licenciatura,España,Remoto,Mediana (50-500)
EMP0009,QA Engineer,7,863600,Masculino,Doctorado,Chile,Remoto,Grande (>500)
EMP0010,Data Scientist,4,573300,Masculino,Doctorado,Argentina,Híbrido,Grande (>500)
EMP0011,DevOps Engineer,0,684700,Femenino,Maestría,México,Remoto,Startup (<50)
EMP0012,Backend Developer,4,1235200,Masculino,Licenciatura,España,Presencial,Grande (>500)
EMP0013,Backend Developer,0,342200,Masculino,Maestría,Argentina,Presencial,Mediana (50-500)
EMP0014,Product Manager,3,988900,Masculino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0015,DevOps Engineer,2,924200,Femenino,Licenciatura,Chile,Híbrido,Mediana (50-500)
EMP0016,DevOps Engineer,1,316200,Femenino,Licenciatura,Colombia,Híbrido,Mediana (50-500)
EMP0017,Data Analyst,3,780300,Masculino,Maestría,Chile,Remoto,Mediana (50-500)
EMP0018,ML Engineer,5,542600,Femenino,Maestría,Argentina,Presencial,Startup (<50)
EMP0019,ML Engineer,6,1035300,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0020,Frontend Developer,1,816500,Femenino,Técnico,España,Remoto,Mediana (50-500)
EMP0021,Product Manager,4,1113700,Femenino,Maestría,México,Híbrido,Grande (>500)
EMP0022,DevOps Engineer,5,1686600,Femenino,Licenciatura,España,Remoto,Grande (>500)
EMP0023,Backend Developer,0,758400,Femenino,Maestría,México,Remoto,Mediana (50-500)
