fecha,producto,categoria,cantidad,precio_unitario,venta_total,region,canal_venta
2024-01-02,Cuerda para saltar,Deportes,8,180.5,1444.0,Centro,Tienda física
2024-01-04,Lámpara LED,Hogar,9,314.76,2832.84,Norte,Tienda física
2024-01-05,Termo acero,Hogar,7,257.27,1800.89,Sur,Tienda física
2024-01-05,Cuerda para saltar,Deportes,1,246.05,246.05,Sur,Tienda física
2024-01-05,Cargador USB-C,Electrónica,3,569.73,1709.19,Centro,Tienda física
2024-01-06,Termo acero,Hogar,11,310.13,3411.43,Norte,En línea
2024-01-06,Cuaderno profesional,Papelería,11,78.95,868.45,Centro,Tienda física
2024-01-06,Tapete yoga,Deportes,2,183.29,366.58,Sur,En línea
2024-01-08,Mochila,Papelería,1,94.21,94.21,Occidente,Tienda física
2024-01-09,Cuaderno profesional,Papelería,2,95.35,190.7,Norte,Tienda física
2024-01-09,Bocina Bluetooth,Electrónica,3,551.15,1653.45,Sur,Tienda física
2024-01-11,Tapete yoga,Deportes,9,267.75,2409.75,Norte,En línea
2024-01-14,Set de plumas,Papelería,8,81.83,654.64,Centro,Tienda física
2024-01-14,Cargador USB-C,Electrónica,3,506.53,1519.59,Centro,En línea
2024-01-14,Termo acero,Hogar,1,300.67,300.67,Norte,Tienda física
2024-01-15,Tapete yoga,Deportes,1,202.21,202.21,Centro,En línea
2024-01-16,Botella deportiva,Deportes,6,274.42,1646.52,Centro,En línea
2024-01-18,Mouse inalámbrico,Electrónica,8,533.56,4268.48,Norte,Tienda física
2024-01-18,Bocina Bluetooth,Electrónica,5,443.4,2217.0,Norte,En línea
2024-01-18,Mouse inalámbrico,Electrónica,9,541.36,4872.24,Centro,En línea
2024-01-19,Mouse inalámbrico,Electrónica,11,398.02,4378.22,Centro,En línea
2024-01-20,Mouse inalámbrico,Electrónica,8,449.24,3593.92,Norte,Tienda física
2024-01-20,Set de plumas,Papelería,6,96.54,579.24,Centro,Tienda física
2024-01-21,Set de sartenes,Hogar,3,315.61,946.83,Centro,Tienda física
2024-01-21,Tapete yoga,Deportes,6,202.13,1212.78,Centro,Tienda física
2024-01-22,Agenda 2024,Papelería,11,113.65,1250.15,Sur,Tienda física
2024-01-22,Termo acero,Hogar,7,280.37,1962.59,Norte,En línea
2024-01-23,Cargador USB-C,Electrónica,8,446.4,3571.2,Occidente,Tienda física
2024-01-23,Guantes gimnasio,Deportes,2,178.6,357.2,Centro,Tienda física
2024-01-23,Bocina Bluetooth,Electrónica,4,469.17,1876.68,Occidente,En línea
2024-01-24,Cargador USB-C,Electrónica,7,499.58,3497.06,Centro,Tienda física
2024-01-24,Set de plumas,Papelería,10,72.69,726.9,Centro,En línea
2024-01-25,Cargador USB-C,Electrónica,4,446.75,1787.0,Norte,Tienda física
2024-01-26,Lámpara LED,Hogar,8,230.51,1844.08,Norte,Tienda física
